X,R2,RMSE,MAE,COUNT
0.9823,0.9998322653361258,1.2905820465163663e-05,9.796468354861254e-06,4
0.9819,1.0,2.220446049250313e-16,2.220446049250313e-16,2
0.9817,,0.0,0.0,1
0.9815,1.0,2.220446049250313e-16,2.220446049250313e-16,3
0.9809,1.0,3.510833468576701e-16,3.3306690738754696e-16,2
0.9806,1.0,5.661048867003676e-16,5.551115123125783e-16,2
0.9804,0.9962523534624332,7.358812800935796e-05,6.261353749820175e-05,4
0.9802,,2.220446049250313e-16,2.220446049250313e-16,1
0.9797,,2.220446049250313e-16,2.220446049250313e-16,1
0.9795,1.0,0.0,0.0,2
0.9789,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9793,,2.220446049250313e-16,2.220446049250313e-16,1
0.9791,,2.220446049250313e-16,2.220446049250313e-16,1
0.983,1.0,5.438959822042073e-16,4.440892098500626e-16,3
0.9851,,0.0,0.0,1
0.9861,1.0,3.8459253727671276e-16,3.7007434154171886e-16,3
0.9822,0.9199817726401898,6.367212478206025e-05,5.064020000422609e-05,4
0.9863,1.0,1.7308738953565693e-13,1.7149244987043252e-13,3
0.9869,1.0,3.1401849173675503e-16,2.220446049250313e-16,2
0.9877,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9867,0.915293813198814,7.815117781178779e-05,6.86739580865403e-05,5
0.9865,1.0,8.881784197001252e-16,8.881784197001252e-16,2
0.986,1.0,6.661338147750939e-16,6.661338147750939e-16,2
0.9803,,2.220446049250313e-16,2.220446049250313e-16,1
0.9821,,4.440892098500626e-16,4.440892098500626e-16,1
0.9828,1.0,1.0094282222676724e-15,8.881784197001252e-16,3
0.9825,,0.0,0.0,1
0.9831,,0.0,0.0,1
0.9829,0.7713367688161848,0.00011534247881393384,0.00010281760239101117,7
0.9833,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9836,0.8369969077320032,3.9076675651354455e-05,3.4486830787050504e-05,4
0.9858,0.4964032465786734,5.6806772083911214e-05,5.164640608120349e-05,6
0.9832,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9837,1.0,2.220446049250313e-16,2.220446049250313e-16,2
0.9818,,2.220446049250313e-16,2.220446049250313e-16,1
0.9835,,0.0,0.0,1
0.9838,,2.220446049250313e-16,2.220446049250313e-16,1
0.9842,,0.0,0.0,1
0.9848,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9849,,0.0,0.0,1
0.9839,1.0,2.4357527360858474e-15,2.294460917558657e-15,3
0.9816,1.0,3.510833468576701e-16,3.3306690738754696e-16,2
0.9813,,0.0,0.0,1
0.9846,1.0,5.0666407632737385e-15,5.0330110449673766e-15,3
0.9843,1.0,1.0532500405730103e-15,9.992007221626409e-16,2
0.9812,,2.220446049250313e-16,2.220446049250313e-16,1
0.985,,0.0,0.0,1
